State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Computer,Working_Processional,%of_male_worker,%of_female_worker,LPG_holders_%age,Electricity_Percentage,computer_percentage,Internet_percentage,Rural_Households,Urban_Households,literacy_rate
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,19335,197135,408808,54808,40.4,50.16,29.75,5.35,11.09,1.49,0.52,584215,307442,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,1059,28296,132079,13045,43.12,47.35,38.2,1.94,9.06,0.89,0.07,305047,59308,55.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,12843,165563,339899,36297,38.38,52.36,23.03,8.49,17.42,1.86,0.66,203454,311735,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,4449,97267,347344,35328,43.11,50.52,35.3,2.94,10.5,1.07,0.13,675712,166489,53.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,4043,94821,326793,19270,41.34,51.01,31.54,4.65,16.04,0.95,0.2,512909,139808,53.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,1989,36073,193276,9222,47.63,54.97,40.21,3.12,16.71,0.8,0.17,304622,61054,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,1887,40116,140947,14310,43.28,48.83,37.1,3.0,10.55,1.07,0.14,282057,71264,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,5647,131342,339457,28382,37.59,47.84,26.77,4.91,12.68,1.06,0.21,527560,178274,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,2146,47182,134089,10297,40.51,50.95,29.4,4.55,12.94,0.99,0.21,238535,69639,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,1908,32359,158264,12482,45.67,51.07,40.01,2.28,11.13,0.88,0.13,298911,81755,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,14211,128320,357846,48517,44.51,53.35,35.29,4.18,11.66,1.58,0.46,665449,182769,52.0
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,80037,327253,352758,127465,33.91,53.66,11.57,19.14,20.64,7.46,4.68,1086,461132,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,1749,39642,177502,8371,47.67,56.72,38.74,5.25,23.51,1.11,0.23,223955,30322,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,217368,910262,1096334,355838,39.11,58.62,19.39,19.59,23.59,7.66,4.68,0,1314125,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,63273,675153,896325,149920,45.34,62.63,28.04,19.52,25.92,4.34,1.83,284795,884957,76.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,15396,244610,598412,50938,44.89,57.15,32.47,9.39,22.96,1.95,0.59,497429,260780,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,3651,104785,337972,18927,49.85,57.61,41.65,6.95,22.43,1.26,0.24,396819,91107,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,9155,209640,500057,38677,51.17,61.56,40.76,9.71,23.15,1.79,0.42,443818,269724,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,18604,371015,595211,58861,53.1,64.79,41.33,16.48,26.43,2.61,0.83,411286,432398,66.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,100322,622095,961161,200738,41.86,58.69,24.81,15.56,24.04,5.02,2.51,438799,774705,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,15673,199188,465692,52943,36.34,56.63,16.42,10.65,24.9,2.83,0.84,104253,493788,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,4915,135831,264949,17995,51.04,62.3,39.95,12.76,24.89,1.69,0.46,212241,152420,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,34097,391821,754141,95311,44.59,59.14,29.89,12.9,24.82,3.14,1.12,417718,592723,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,5585,143846,381940,19692,41.57,57.78,25.76,8.9,23.63,1.22,0.35,399016,118724,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,8960,265276,441044,31581,52.02,61.14,42.78,15.36,25.54,1.83,0.52,370357,257127,68.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,1507,49390,135751,7745,53.03,57.64,48.43,8.74,24.02,1.37,0.27,155413,33179,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,4494,82967,354493,18272,47.07,58.65,35.65,5.13,21.9,1.13,0.28,399712,104229,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,5172,100484,291400,22379,44.55,57.53,31.34,7.42,21.53,1.65,0.38,290478,126761,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,20660,448968,835377,63867,48.65,60.83,35.89,12.89,23.99,1.83,0.59,572813,597539,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,5773,113822,314270,24456,46.31,58.52,34.14,8.5,23.47,1.83,0.43,309224,143193,72.0
