State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Computer,Working_Processional,%of_male_worker,%of_female_worker,LPG_holders_%age,Electricity_Percentage,computer_percentage,Internet_percentage,Rural_Households,Urban_Households,literacy_rate
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,1790998,13495,223044,555582,42912,40.49,57.55,24.0,9.27,23.09,1.78,0.56,479070,274302,74.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,870080,4667,147529,312310,18830,47.49,58.96,35.91,11.84,25.07,1.51,0.37,189328,221295,70.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,2791721,75634,621907,909400,174279,41.26,58.82,23.46,16.68,24.39,4.67,2.03,387237,732196,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,626693,637584,946471,4416,109580,303114,15535,42.73,59.02,26.71,8.67,23.98,1.23,0.35,321331,86848,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,1235889,1228986,1626813,6445,176242,549077,27529,50.23,59.79,40.62,7.15,22.28,1.12,0.26,563102,147061,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1961688,1974643,2773928,20623,417535,865913,69912,42.92,57.29,28.64,10.61,22.0,1.78,0.52,653499,486801,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,967709,974579,1398788,10219,235005,505950,37357,48.92,59.84,38.07,12.1,26.05,1.92,0.53,363782,370942,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,194544,183686,276217,273,5532,46875,5067,41.2,54.31,27.32,1.46,12.39,1.34,0.07,89457,14071,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,352860,341087,520402,997,19631,81601,10310,35.83,52.72,18.36,2.83,11.76,1.49,0.14,150437,42184,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,447544,428457,646810,948,20246,133744,10393,41.88,56.58,26.52,2.31,15.27,1.19,0.11,219171,44906,74.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,879428,846311,1361354,6394,103228,314567,36186,40.46,56.9,23.37,5.98,18.23,2.1,0.37,289621,217016,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,2364953,2053844,2680510,27183,251013,536402,82012,31.45,47.35,13.15,5.68,12.14,1.86,0.62,496971,406852,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,1951996,1721893,2092567,13634,153283,268120,58336,31.97,47.61,14.23,4.17,7.3,1.59,0.37,582117,275942,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,3131807,2822584,3665727,24122,204357,391542,85491,35.47,45.54,24.3,3.43,6.58,1.44,0.41,983266,265304,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1212410,1185478,1486939,2509,21512,99581,27308,32.84,45.15,20.24,0.9,4.15,1.14,0.1,501559,65031,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,740040,639505,930836,2404,32687,65479,14279,32.04,49.26,12.12,2.37,4.75,1.04,0.17,255836,58438,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,2285004,2328909,2771917,6652,49699,183381,47324,29.74,41.22,18.47,1.08,3.97,1.03,0.14,891024,80434,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,700070,602978,797970,2989,44732,119121,19999,31.98,48.94,12.29,3.43,9.14,1.53,0.23,246055,69991,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,1843884,1643847,1398368,2681,38940,85814,35463,33.03,48.57,15.61,1.12,2.46,1.02,0.08,698520,61742,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,1672902,1566872,1963590,4672,62157,119972,42969,31.47,43.22,18.92,1.92,3.7,1.33,0.14,564927,64454,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1114721,1033944,868357,1551,16229,57400,15510,35.38,47.93,21.85,0.76,2.67,0.72,0.07,410070,35768,40.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,965876,833534,1002937,1655,26907,73522,18612,39.0,50.25,25.96,1.5,4.09,1.03,0.09,378056,67569,56.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,1707073,1553626,1692458,3159,60554,108116,26293,36.58,51.04,20.7,1.86,3.32,0.81,0.1,635840,79068,52.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2357665,2090694,2191759,15164,210687,272830,56575,31.52,48.9,11.91,4.74,6.13,1.27,0.34,631613,362798,49.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,1255272,1209192,1393783,3423,37593,108101,30244,31.8,44.5,18.61,1.53,4.39,1.23,0.14,513960,31065,57.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,1921215,1761498,2135393,7303,128042,268353,37341,29.54,47.96,9.45,3.48,7.29,1.01,0.2,683875,224648,58.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,1845260,1653911,2031656,7865,124641,223922,38225,33.53,48.66,16.65,3.56,6.4,1.09,0.22,658449,221628,58.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1017905,934851,1174606,3492,32433,99602,20762,33.42,45.48,20.28,1.66,5.1,1.06,0.18,344937,50822,60.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,827,11637,41046,9437,39.75,48.32,30.0,1.17,4.14,0.95,0.08,207237,23558,54.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,1537436,1563510,1875239,4469,60348,150001,36068,28.26,41.57,15.17,1.95,4.84,1.16,0.14,597778,67928,60.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,2635,37027,69591,19712,30.77,46.47,12.78,2.09,3.92,1.11,0.15,334246,67752,59.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,2964,47520,113098,21506,31.99,48.91,12.55,3.0,7.15,1.36,0.19,265643,85483,67.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,4746,58328,127754,28625,33.64,47.47,19.26,2.36,5.17,1.16,0.19,510378,79288,59.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,2624,59209,88081,18733,31.42,49.15,11.12,3.14,4.67,0.99,0.14,316647,94843,58.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,3385,43492,75263,33501,40.41,51.54,28.06,1.65,2.86,1.27,0.13,558807,77733,57.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,5834,100919,196080,31797,30.48,46.68,11.98,4.04,7.85,1.27,0.23,349747,185621,61.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,53181,193902,257586,87188,34.53,49.81,16.59,11.77,15.63,5.29,3.23,170835,338935,68.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,78116,501592,695130,179552,32.48,49.49,13.18,10.71,14.85,3.84,1.67,355407,836316,67.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,5309,36798,105767,50180,33.27,43.59,22.43,1.02,2.92,1.39,0.15,700173,61467,61.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,4313,45517,104084,31811,34.09,47.89,19.11,1.33,3.03,0.93,0.13,673578,52794,49.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,14597,149727,296619,65360,30.44,44.64,15.48,3.37,6.68,1.47,0.33,761958,189170,61.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,3845,60689,95508,32065,32.23,49.83,11.94,1.48,2.33,0.78,0.09,786613,121064,54.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,2217,42616,104176,18615,36.73,51.98,19.11,2.52,6.16,1.1,0.13,304856,91565,64.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,8002,56508,181467,52398,31.98,42.07,22.13,1.26,4.04,1.17,0.18,926088,80582,61.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,8517,94342,183340,40774,40.77,53.46,26.52,4.72,9.17,2.04,0.43,309592,195321,65.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,2825,55064,89329,18303,32.56,47.65,15.97,2.99,4.85,0.99,0.15,335888,115486,53.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,2488,32510,61491,18082,31.67,48.87,12.1,1.96,3.71,1.09,0.15,299785,65985,61.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,2682,23831,49753,25354,35.01,51.28,16.19,1.33,2.77,1.41,0.15,363933,41323,65.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,1503,22034,43753,15029,39.95,48.02,31.07,1.38,2.74,0.94,0.09,349856,30764,51.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,3486,29304,127331,35931,31.34,44.27,17.87,0.82,3.57,1.01,0.1,742324,42775,55.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,1079,20720,77082,9906,41.2,50.98,30.41,1.7,6.31,0.81,0.09,258013,43819,52.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,68506,469747,582769,152257,33.61,51.22,14.41,10.23,12.7,3.32,1.49,344155,717566,68.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,1316,12874,42936,11298,39.92,50.85,27.47,1.47,4.9,1.29,0.15,198298,48525,56.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,2642,43074,79022,24451,30.02,46.92,10.83,2.31,4.23,1.31,0.14,338475,72783,64.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,8726,107867,281239,37596,33.01,46.46,17.44,4.23,11.04,1.48,0.34,407488,177802,59.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,2656,40087,149908,26716,31.58,42.65,20.28,1.82,6.8,1.21,0.12,352207,99321,62.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,23717,236071,425624,69473,31.67,49.23,11.85,6.86,12.36,2.02,0.69,381520,422303,62.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,4447,43500,145997,24518,35.32,46.72,22.7,1.74,5.85,0.98,0.18,465152,77963,57.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,11690,179473,281758,61846,29.71,47.68,9.89,3.76,5.9,1.3,0.24,692398,355518,47.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,10077,147785,368153,56149,31.17,49.31,10.77,3.57,8.89,1.36,0.24,673746,296104,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,2870,47723,83006,18097,30.46,49.9,8.72,2.35,4.09,0.89,0.14,371752,89638,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,716,17984,71612,5961,55.46,57.5,53.38,2.07,8.25,0.69,0.08,209813,24269,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,5149,46358,140538,34400,33.24,43.87,22.58,1.44,4.38,1.07,0.16,711085,41701,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,5184,65080,247856,34788,35.37,49.49,20.41,1.91,7.28,1.02,0.15,705025,73393,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,3847,62281,131112,25960,31.56,49.82,11.47,2.67,5.61,1.11,0.16,396775,143217,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,9699,149035,404499,38816,29.93,49.68,7.73,4.3,11.67,1.12,0.28,605082,284156,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,2031,17671,79525,19729,31.45,44.1,18.45,1.03,4.64,1.15,0.12,324972,27179,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,3889,91958,115163,27533,29.68,48.76,7.78,3.06,3.83,0.92,0.13,520289,134714,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,3874,74072,102040,34609,31.73,49.31,11.92,1.65,2.28,0.77,0.09,827583,111319,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,5149,40467,95582,25220,39.21,47.73,29.94,2.17,5.13,1.35,0.28,337048,91040,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,5956,55055,233701,44008,32.73,45.43,19.8,1.45,6.15,1.16,0.16,839737,49891,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,3476,70484,99466,28719,36.18,52.21,18.52,2.27,3.2,0.92,0.11,596317,121039,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,19214,202055,336056,57583,33.2,47.93,17.06,5.5,9.14,1.57,0.52,438935,316129,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,1830,40199,109876,9858,47.9,48.94,46.99,6.46,17.65,1.58,0.29,260056,21082,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,435,13352,47083,3595,47.57,47.22,47.89,5.14,18.12,1.38,0.17,96031,3880,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,899,27853,71524,5582,46.2,48.37,44.08,7.11,18.26,1.43,0.23,163434,22906,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,548,18785,37725,3159,38.35,46.08,30.45,7.23,14.53,1.22,0.21,85202,12839,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,1344,45365,95421,7932,44.78,47.45,42.17,9.38,19.74,1.64,0.28,183687,26256,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,1366,50929,117239,7831,45.31,47.26,43.5,8.23,18.94,1.27,0.22,227059,27177,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,7883,116576,254802,28053,35.87,51.77,18.59,7.07,15.45,1.7,0.48,269406,145253,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,602,21374,52621,4104,47.65,49.98,45.21,6.48,15.94,1.24,0.18,112148,9061,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,4273,45126,334670,34128,40.77,57.17,23.62,1.25,9.3,0.95,0.12,900515,90885,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,32323,292585,1049943,141387,37.72,57.81,16.48,3.79,13.6,1.83,0.42,1364868,862368,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,5210,57010,333752,39636,38.02,57.5,17.64,1.63,9.53,1.13,0.15,831044,134565,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,2518,37186,168069,24318,41.94,58.28,24.84,2.22,10.03,1.45,0.15,390949,70077,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,10943,141897,297176,38065,37.02,51.17,22.44,7.68,16.09,2.06,0.59,303284,215675,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,30751,325053,796953,99261,37.52,59.91,13.69,6.7,16.43,2.05,0.63,483384,869313,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,31725,319815,965258,118459,39.01,60.88,16.24,5.79,17.49,2.15,0.57,992085,647953,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,9322,138522,382500,48818,39.06,55.03,22.31,3.58,9.88,1.26,0.24,798378,319426,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,136618,623579,927602,252644,39.93,59.93,17.91,13.87,20.63,5.62,3.04,0,1308106,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,5357,54213,297716,63525,38.55,52.96,23.3,1.36,7.46,1.59,0.13,830318,128678,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,7951,92742,541169,79729,36.46,54.74,17.38,1.31,7.62,1.12,0.11,1501066,350899,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,12787,168314,623729,77210,35.66,58.56,11.48,3.26,12.07,1.49,0.25,1081381,468390,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,3551,30675,189889,32862,42.65,53.52,31.29,1.05,6.48,1.12,0.12,653219,99433,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,2883,39138,199307,31210,35.77,51.55,18.96,1.3,6.63,1.04,0.1,683981,94269,50.0
